lon;lat
10.620923;-83.696770
10.666069;-83.696284
10.711214;-83.695795
10.756359;-83.695304
10.801504;-83.694811
10.846649;-83.694316
10.891794;-83.693818
10.936938;-83.693319
10.982083;-83.692817
11.027227;-83.692313
10.078708;-83.656883
10.123853;-83.656416
10.168998;-83.655947
10.214143;-83.655476
10.259288;-83.655003
10.304432;-83.654527
10.349577;-83.654049
10.394721;-83.653569
10.439865;-83.653087
10.485009;-83.652603
10.530153;-83.652116
10.575296;-83.651627
10.620440;-83.651136
10.665583;-83.650643
10.710726;-83.650148
10.755869;-83.649650
10.801012;-83.649150
10.846155;-83.648648
10.891298;-83.648144
10.936440;-83.647637
10.981582;-83.647128
11.026725;-83.646617
10.078243;-83.611329
10.123386;-83.610856
10.168529;-83.610381
10.213672;-83.609903
10.258814;-83.609423
10.303957;-83.608941
10.349099;-83.608457
10.394241;-83.607970
10.439383;-83.607482
10.484525;-83.606991
10.529667;-83.606497
10.574808;-83.606002
10.619950;-83.605504
10.665091;-83.605004
10.710232;-83.604502
10.755373;-83.603998
10.800514;-83.603491
10.845654;-83.602982
10.890795;-83.602471
10.935935;-83.601957
10.981075;-83.601442
11.026215;-83.600924
10.077772;-83.565777
10.122913;-83.565298
10.168054;-83.564816
10.213194;-83.564332
10.258335;-83.563846
10.303475;-83.563357
10.348615;-83.562867
10.393755;-83.562374
10.438895;-83.561878
10.484035;-83.561381
10.529174;-83.560881
10.574314;-83.560379
10.619453;-83.559874
10.664592;-83.559368
10.709731;-83.558859
10.754870;-83.558348
10.800008;-83.557834
10.845147;-83.557319
10.890285;-83.556801
10.935423;-83.556280
10.980561;-83.555758
11.025699;-83.555233
10.077295;-83.520228
10.122434;-83.519742
10.167572;-83.519254
10.212711;-83.518763
10.257849;-83.518271
10.302987;-83.517776
10.348125;-83.517279
10.393263;-83.516779
10.438401;-83.516277
10.483538;-83.515773
10.528675;-83.515267
10.573813;-83.514758
10.618950;-83.514247
10.664086;-83.513734
10.709223;-83.513218
10.754360;-83.512700
10.799496;-83.512180
10.844632;-83.511657
10.889768;-83.511132
10.934904;-83.510605
10.980040;-83.510076
11.025176;-83.509544
10.076812;-83.474680
10.121948;-83.474188
10.167085;-83.473694
10.212221;-83.473197
10.257357;-83.472698
10.302493;-83.472196
10.347628;-83.471693
10.392764;-83.471187
10.437899;-83.470678
10.483035;-83.470168
10.528170;-83.469655
10.573305;-83.469139
10.618440;-83.468622
10.663574;-83.468102
10.708709;-83.467579
10.753843;-83.467055
10.798977;-83.466528
10.844111;-83.465998
10.889245;-83.465467
10.934379;-83.464933
10.979513;-83.464396
11.024646;-83.463858
10.076322;-83.429135
10.121456;-83.428637
10.166590;-83.428136
10.211724;-83.427633
10.256858;-83.427127
10.301992;-83.426620
10.347125;-83.426109
10.392259;-83.425597
10.437392;-83.425082
10.482525;-83.424565
10.527658;-83.424045
10.572790;-83.423523
10.617923;-83.422999
10.663055;-83.422472
10.708188;-83.421943
10.753320;-83.421412
10.798452;-83.420878
10.843584;-83.420342
10.888715;-83.419803
10.933847;-83.419262
10.978978;-83.418719
11.024109;-83.418173
